Label,Value,Area (ÂµmÂ²),Center_X,Center_Y,Center_Z
687,0,17.2058,43.8512,22.9932,-11.0983
431,0,30.9753,34.5313,11.2635,-9.53308
623,0,13.5043,14.1812,-2.06258,-9.866
367,0,26.8701,46.88399999999999,51.6032,-9.92028
239,0,27.6395,7.696280000000001,7.77406,-5.706930000000001
495,1,31.7854,36.1324,89.1499,-12.52
543,0,20.2692,-52.1409,53.5408,-10.8837
671,1,10.1338,46.8017,25.5329,-12.0262
95,0,23.4033,-36.2647,37.8719,-4.62223
607,0,17.2483,-13.8319,89.4564,-11.9249
351,0,25.5145,-39.8048,79.7482,-4.09697
223,0,16.8598,-0.8280719999999999,-2.11076,-9.38445
479,0,18.6631,-8.79768,-17.3331,-14.4212
63,0,22.6413,43.9395,49.2364,-7.79073
319,0,18.0457,-16.5621,16.9352,-4.13012
703,0,8.16098,-42.3391,39.3276,-6.48996
447,0,17.78,19.3594,-4.40152,-10.8177
127,0,22.3479,-27.4338,76.8394,-7.4147
383,0,27.3092,15.5788,23.8703,-1.39221
255,0,25.0529,-18.8045,-1.6347200000000002,-11.4805
511,0,25.9761,-6.763039999999999,78.285,-5.21711


